0000 | ILLEGAL OPCODE
002E | b'*** BREAK INTO MONITOR AT $002E ***\nR0=$0059 R1=$000E R2=$E002 R3=$002E\nSP=$FEFA [2F004CF216F0000000000000]\nReady.\n> '
002F | b'*** BREAK INTO MONITOR AT $002F ***\nR0=$0059 R1=$000F R2=$E002 R3=$002F\nSP=$FEFA [30004CF216F0000000000000]\nReady.\n> '
0030 | Timed out, infinite loop?
0031 | ILLEGAL OPCODE
0032 | b'*** BREAK INTO MONITOR AT $0035 ***\nR0=$0000 R1=$0002 R2=$E002 R3=$0032\nSP=$FEFA [36004CF216F0000000000000]\nReady.\n> '
0033 | b'*** BREAK INTO MONITOR AT $0033 ***\nR0=$0059 R1=$0003 R2=$E002 R3=$0033\nSP=$FEFA [34004CF216F0000000000000]\nReady.\n> '
0034 | b'*** BREAK INTO MONITOR AT $0034 ***\nR0=$0059 R1=$0004 R2=$E002 R3=$0034\nSP=$FEFA [35004CF216F0000000000000]\nReady.\n> '
0035 | b'*** BREAK INTO MONITOR AT $0035 ***\nR0=$0059 R1=$0005 R2=$E002 R3=$0035\nSP=$FEFA [36004CF216F0000000000000]\nReady.\n> '
0036 | b'*** BREAK INTO MONITOR AT $0036 ***\nR0=$0059 R1=$0006 R2=$E002 R3=$0036\nSP=$FEFA [37004CF216F0000000000000]\nReady.\n> '
0037 | b'*** BREAK INTO MONITOR AT $0037 ***\nR0=$0059 R1=$0007 R2=$E002 R3=$0037\nSP=$FEFA [38004CF216F0000000000000]\nReady.\n> '
0038 | b'Ready.\n> '
0039 | ILLEGAL OPCODE
003A | b'*** BREAK INTO MONITOR AT $003B ***\nR0=$037A R1=$000A R2=$E002 R3=$003A\nSP=$FEFA [3C004CF216F0000000000000]\nReady.\n> '
003B | b'*** BREAK INTO MONITOR AT $003B ***\nR0=$0059 R1=$000B R2=$E002 R3=$003B\nSP=$FEFA [3C004CF216F0000000000000]\nReady.\n> '
003C | b'*** BREAK INTO MONITOR AT $003C ***\nR0=$0059 R1=$000C R2=$E002 R3=$003C\nSP=$FEFA [3D004CF216F0000000000000]\nReady.\n> '
003D | b'*** BREAK INTO MONITOR AT $003D ***\nR0=$0059 R1=$000D R2=$E002 R3=$003D\nSP=$FEFA [3E004CF216F0000000000000]\nReady.\n> '
003E | b'*** BREAK INTO MONITOR AT $003E ***\nR0=$0059 R1=$000E R2=$E002 R3=$003E\nSP=$FEFA [3F004CF216F0000000000000]\nReady.\n> '
003F | b'*** BREAK INTO MONITOR AT $003F ***\nR0=$0059 R1=$000F R2=$E002 R3=$003F\nSP=$FEFA [40004CF216F0000000000000]\nReady.\n> '
0040 | b'Ready.\n> '
0041 | b'Ready.\n> '
0042 | b'*** BREAK INTO MONITOR AT $0042 ***\nR0=$0059 R1=$0002 R2=$E002 R3=$0042\nSP=$FEFA [43004CF216F0000000000000]\nReady.\n> '
0043 | b'*** BREAK INTO MONITOR AT $0046 ***\nR0=$409A R1=$0003 R2=$E002 R3=$0043\nSP=$FEFA [47004CF216F0000000000000]\nReady.\n> '
0044 | b'Ready.\n> '
0045 | b'*** BREAK INTO MONITOR AT $0046 ***\nR0=$0000 R1=$0005 R2=$E002 R3=$0045\nSP=$FEFA [47004CF216F0000000000000]\nReady.\n> '
0046 | b'*** BREAK INTO MONITOR AT $0046 ***\nR0=$0059 R1=$0006 R2=$E002 R3=$0046\nSP=$FEFA [47004CF216F0000000000000]\nReady.\n> '
0047 | b'Ready.\n> '
0048 | b'Y8\nReady.\n> '
0049 | b'*** BREAK INTO MONITOR AT $0049 ***\nR0=$0059 R1=$0009 R2=$E002 R3=$0049\nSP=$FEFA [4A004CF216F0000000000000]\nReady.\n> '
004A | b'*** BREAK INTO MONITOR AT $004A ***\nR0=$0059 R1=$000A R2=$E002 R3=$004A\nSP=$FEFA [4B004CF216F0000000000000]\nReady.\n> '
004B | b'Ready.\n> '
004C | b'*** BREAK INTO MONITOR AT $004D ***\nR0=$0059 R1=$000C R2=$E002 R3=$004C\nSP=$FEFA [4E004CF216F0000000000000]\nReady.\n> '
004D | b'*** BREAK INTO MONITOR AT $004D ***\nR0=$0059 R1=$000D R2=$E002 R3=$004D\nSP=$FEFA [4E004CF216F0000000000000]\nReady.\n> '
004E | b'YE\nReady.\n> '
004F | ILLEGAL OPCODE
0050 | b'*** BREAK INTO MONITOR AT $0050 ***\nR0=$0059 R1=$0000 R2=$E002 R3=$0050\nSP=$FEFA [51004CF216F0000000000000]\nReady.\n> '
0051 | b'Ready.\n> '
0052 | b'*** BREAK INTO MONITOR AT $0053 ***\nR0=$0059 R1=$0002 R2=$E002 R3=$0052\nSP=$FEFA [54004CF216F0000000000000]\nReady.\n> '
0053 | b'*** BREAK INTO MONITOR AT $0053 ***\nR0=$0059 R1=$0003 R2=$E002 R3=$0053\nSP=$FEFA [54004CF216F0000000000000]\nReady.\n> '
0054 | b'Y4\nReady.\n> '
0055 | ILLEGAL OPCODE
0056 | b'*** BREAK INTO MONITOR AT $0056 ***\nR0=$0059 R1=$0006 R2=$E002 R3=$0056\nSP=$FEFA [57004CF216F0000000000000]\nReady.\n> '
0057 | b'Ready.\n> '
0058 | Timed out, infinite loop?
0059 | b'*** BREAK INTO MONITOR AT $0059 ***\nR0=$0059 R1=$0009 R2=$E002 R3=$0059\nSP=$FEFA [5A004CF216F0000000000000]\nReady.\n> '
005A | b'YA\nReady.\n> '
005B | b'*** BREAK INTO MONITOR AT $005F ***\nR0=$0000 R1=$000B R2=$E002 R3=$005B\nSP=$FEFA [60004CF216F0000000000000]\nReady.\n> '
005C | b'C\nReady.\n> '
005D | b'Ready.\n> '
005E | b'*** BREAK INTO MONITOR AT $005F ***\nR0=$0000 R1=$000E R2=$E002 R3=$005E\nSP=$FEFA [60004CF216F0000000000000]\nReady.\n> '
005F | b'*** BREAK INTO MONITOR AT $005F ***\nR0=$0059 R1=$000F R2=$E002 R3=$005F\nSP=$FEFA [60004CF216F0000000000000]\nReady.\n> '
0060 | b'Ready.\n> '
0061 | b'Ready.\n> '
0062 | b'0000\nReady.\n> '
0063 | b'Ready.\n> '
0064 | b'*** BREAK INTO MONITOR AT $0064 ***\nR0=$0059 R1=$0004 R2=$E002 R3=$0064\nSP=$FEFA [65004CF216F0000000000000]\nReady.\n> '
0065 | b'*** BREAK INTO MONITOR AT $0068 ***\nR0=$409A R1=$0005 R2=$E002 R3=$0065\nSP=$FEFA [69004CF216F0000000000000]\nReady.\n> '
0066 | b'0600\nReady.\n> '
0067 | b'*** BREAK INTO MONITOR AT $0068 ***\nR0=$0000 R1=$0007 R2=$E002 R3=$0067\nSP=$FEFA [69004CF216F0000000000000]\nReady.\n> '
0068 | b'*** BREAK INTO MONITOR AT $0068 ***\nR0=$0059 R1=$0008 R2=$E002 R3=$0068\nSP=$FEFA [69004CF216F0000000000000]\nReady.\n> '
0069 | b'0600\nReady.\n> '
006A | b'0059\nReady.\n> '
006B | b'B\nReady.\n> '
006C | b'*** BREAK INTO MONITOR AT $006C ***\nR0=$0059 R1=$000C R2=$E002 R3=$006C\nSP=$FEFA [6D004CF216F0000000000000]\nReady.\n> '
006D | b'\nReady.\n> '
006E | b'E\nReady.\n> '
006F | b'Ready.\n> '
0070 | b'*** BREAK INTO MONITOR AT $0071 ***\nR0=$00FF R1=$0000 R2=$E002 R3=$0070\nSP=$FEFA [72004CF216F0000000000000]\nReady.\n> '
0071 | b'*** BREAK INTO MONITOR AT $0071 ***\nR0=$0059 R1=$0001 R2=$E002 R3=$0071\nSP=$FEFA [72004CF216F0000000000000]\nReady.\n> '
0072 | b'Ready.\n> '
0073 | b'00\nReady.\n> '
0074 | b'Ready.\n> '
0075 | b'*** BREAK INTO MONITOR AT $0075 ***\nR0=$0059 R1=$0005 R2=$E002 R3=$0075\nSP=$FEFA [76004CF216F0000000000000]\nReady.\n> '
0076 | b'*** BREAK INTO MONITOR AT $0079 ***\nR0=$409A R1=$0006 R2=$E002 R3=$0076\nSP=$FEFA [7A004CF216F0000000000000]\nReady.\n> '
0077 | b'00\nReady.\n> '
0078 | b'*** BREAK INTO MONITOR AT $0079 ***\nR0=$0000 R1=$0008 R2=$E002 R3=$0078\nSP=$FEFA [7A004CF216F0000000000000]\nReady.\n> '
0079 | b'*** BREAK INTO MONITOR AT $0079 ***\nR0=$0059 R1=$0009 R2=$E002 R3=$0079\nSP=$FEFA [7A004CF216F0000000000000]\nReady.\n> '
007A | b'00\nReady.\n> '
007B | b'59\nReady.\n> '
007C | b'*** BREAK INTO MONITOR AT $007D ***\nR0=$0059 R1=$000C R2=$E002 R3=$007C\nSP=$FEF8 [7E00FCFE4CF216F000000000]\nReady.\n> '
007D | b'*** BREAK INTO MONITOR AT $007D ***\nR0=$0059 R1=$000D R2=$E002 R3=$007D\nSP=$FEFA [7E004CF216F0000000000000]\nReady.\n> '
007E | b'\nReady.\n> '
007F | b'F\nReady.\n> '
0080 | b'Ready.\n> '
0081 | b'*** BREAK INTO MONITOR AT $0082 ***\nR0=$00FF R1=$0001 R2=$E002 R3=$0081\nSP=$FEFA [83004CF216F0000000000000]\nReady.\n> '
0082 | b'*** BREAK INTO MONITOR AT $0082 ***\nR0=$0059 R1=$0002 R2=$E002 R3=$0082\nSP=$FEFA [83004CF216F0000000000000]\nReady.\n> '
