0000 | ILLEGAL OPCODE
00A4 | b'*** BREAK INTO MONITOR AT $00A4 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [A5000F104CF216F000000000]\nReady.\n> '
00A5 | b'00*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00A6 | b'00*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00A7 | b'*** BREAK INTO MONITOR AT $00A8 ***\nR0=$0000 R1=$0000 R2=$0001 R3=$0000\nSP=$FEF8 [A9000F104CF216F000000000]\nReady.\n> '
00A8 | b'*** BREAK INTO MONITOR AT $00A8 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [A9000F104CF216F000000000]\nReady.\n> '
00A9 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00AA | b'00*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00AB | b'0FReady.\n> '
00AC | b'0FReady.\n> '
00AD | b'0FReady.\n> '
00AE | b'0FReady.\n> '
00AF | b'0FReady.\n> '
00B0 | b'*** BREAK INTO MONITOR AT $00B1 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [B2000F104CF216F000000000]\nReady.\n> '
00B1 | b'*** BREAK INTO MONITOR AT $00B1 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [B2000F104CF216F000000000]\nReady.\n> '
00B2 | b'0FReady.\n> '
00B3 | b'0*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00B4 | b'*** BREAK INTO MONITOR AT $00B4 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [B5000F104CF216F000000000]\nReady.\n> '
00B5 | b'FReady.\n> '
00B6 | b'0*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00B7 | b'0Ready.\n> '
00B8 | b'*** BREAK INTO MONITOR AT $00B9 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [BA000F104CF216F000000000]\nReady.\n> '
00B9 | b'*** BREAK INTO MONITOR AT $00B9 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [BA000F104CF216F000000000]\nReady.\n> '
00BA | b'0Ready.\n> '
00BB | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00BC | b'*** BREAK INTO MONITOR AT $00BC ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [BD000F104CF216F000000000]\nReady.\n> '
00BD | b'Ready.\n> '
00BE | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00BF | b'0*** BREAK INTO MONITOR AT $100F ***\nR0=$0030 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00C0 | ILLEGAL OPCODE
00C1 | b'*** BREAK INTO MONITOR AT $00C1 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [C2000F104CF216F000000000]\nReady.\n> '
00C2 | b'\xff*** BREAK INTO MONITOR AT $100F ***\nR0=$00FF R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00C3 | b'\x00*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00C4 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$00FF R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00C5 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00C6 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$00FF R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00C7 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$00FF R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00C8 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$00FF R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00C9 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$00FF R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00CA | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$00FF R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00CB | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$00FF R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00CC | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$00FF R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00CD | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$00FF R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00CE | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$00FF R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00CF | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$00FF R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00D0 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$00FF R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00D1 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$00FF R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00D2 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$00FF R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00D3 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00D4 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00D5 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00D6 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00D7 | ILLEGAL OPCODE
00D8 | ILLEGAL OPCODE
00D9 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0001 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00DA | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00DB | b'*** BREAK INTO MONITOR AT $00DB ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [DC000F104CF216F000000000]\nReady.\n> '
00DC | b'*** BREAK INTO MONITOR AT $00DF ***\nR0=$409A R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [E0000F104CF216F000000000]\nReady.\n> '
00DD | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$FFFF R1=$0000 R2=$0001 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00DE | b'*** BREAK INTO MONITOR AT $00DF ***\nR0=$00FF R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [E0000F104CF216F000000000]\nReady.\n> '
00DF | b'*** BREAK INTO MONITOR AT $00DF ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [E0000F104CF216F000000000]\nReady.\n> '
00E0 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$FFFF R1=$0000 R2=$0001 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00E1 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0001 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00E2 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00E3 | ILLEGAL OPCODE
00E4 | b'*** BREAK INTO MONITOR AT $00E4 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [E5000F104CF216F000000000]\nReady.\n> '
00E5 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$FFFF R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00E6 | ILLEGAL OPCODE
00E7 | b'*** BREAK INTO MONITOR AT $00E7 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [E8000F104CF216F000000000]\nReady.\n> '
00E8 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00E9 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00EA | b'*** BREAK INTO MONITOR AT $00EB ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [EC000F104CF216F000000000]\nReady.\n> '
00EB | b'*** BREAK INTO MONITOR AT $00EB ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [EC000F104CF216F000000000]\nReady.\n> '
00EC | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00ED | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00EE | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$FFFF R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00EF | ILLEGAL OPCODE
00F0 | ILLEGAL OPCODE
00F1 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00F2 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$FFFF R1=$0000 R2=$0001 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00F3 | ILLEGAL OPCODE
00F4 | ILLEGAL OPCODE
00F5 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$FFFF R1=$0001 R2=$0001 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00F6 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$FFFF R1=$0000 R2=$0001 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00F7 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0001 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00F8 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00F9 | ILLEGAL OPCODE
00FA | b'*** BREAK INTO MONITOR AT $00FA ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [FB000F104CF216F000000000]\nReady.\n> '
00FB | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$FFFF R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00FC | ILLEGAL OPCODE
00FD | ILLEGAL OPCODE
00FE | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00FF | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0100 | ILLEGAL OPCODE
0101 | b'*** BREAK INTO MONITOR AT $0101 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [02010F104CF216F000000000]\nReady.\n> '
0102 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0103 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0104 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$FFFF R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0105 | ILLEGAL OPCODE
0106 | ILLEGAL OPCODE
0107 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0108 | b'*** BREAK INTO MONITOR AT $0108 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [09010F104CF216F000000000]\nReady.\n> '
0109 | b'*** BREAK INTO MONITOR AT $0109 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [0A010F104CF216F000000000]\nReady.\n> '
010A | b'*** BREAK INTO MONITOR AT $010A ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [0B010F104CF216F000000000]\nReady.\n> '
010B | b'*** BREAK INTO MONITOR AT $0174 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$FF00\nSP=$FEF8 [75010F104CF216F000000000]\nReady.\n> '
010C | b'*** BREAK INTO MONITOR AT $0174 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [75010F104CF216F000000000]\nReady.\n> '
010D | b'*** BREAK INTO MONITOR AT $0174 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [75010F104CF216F000000000]\nReady.\n> '
010E | b'*** BREAK INTO MONITOR AT $0174 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [75010F104CF216F000000000]\nReady.\n> '
010F | b'*** BREAK INTO MONITOR AT $0174 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [75010F104CF216F000000000]\nReady.\n> '
0110 | b'*** BREAK INTO MONITOR AT $0174 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [75010F104CF216F000000000]\nReady.\n> '
0111 | b'*** BREAK INTO MONITOR AT $0174 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [75010F104CF216F000000000]\nReady.\n> '
0112 | b'*** BREAK INTO MONITOR AT $0174 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [75010F104CF216F000000000]\nReady.\n> '
0113 | b'*** BREAK INTO MONITOR AT $0174 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [75010F104CF216F000000000]\nReady.\n> '
0114 | b'*** BREAK INTO MONITOR AT $0174 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [75010F104CF216F000000000]\nReady.\n> '
0115 | b'*** BREAK INTO MONITOR AT $0174 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [75010F104CF216F000000000]\nReady.\n> '
0116 | b'*** BREAK INTO MONITOR AT $0174 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [75010F104CF216F000000000]\nReady.\n> '
0117 | b'*** BREAK INTO MONITOR AT $0174 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [75010F104CF216F000000000]\nReady.\n> '
0118 | b'*** BREAK INTO MONITOR AT $0174 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [75010F104CF216F000000000]\nReady.\n> '
0119 | b'*** BREAK INTO MONITOR AT $0174 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [75010F104CF216F000000000]\nReady.\n> '
011A | b'*** BREAK INTO MONITOR AT $0174 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [75010F104CF216F000000000]\nReady.\n> '
011B | b'*** BREAK INTO MONITOR AT $0174 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [75010F104CF216F000000000]\nReady.\n> '
011C | b'*** BREAK INTO MONITOR AT $0174 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [75010F104CF216F000000000]\nReady.\n> '
011D | b'*** BREAK INTO MONITOR AT $0174 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [75010F104CF216F000000000]\nReady.\n> '
011E | b'*** BREAK INTO MONITOR AT $0174 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [75010F104CF216F000000000]\nReady.\n> '
011F | b'*** BREAK INTO MONITOR AT $0174 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [75010F104CF216F000000000]\nReady.\n> '
0120 | b'*** BREAK INTO MONITOR AT $0174 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [75010F104CF216F000000000]\nReady.\n> '
0121 | b'*** BREAK INTO MONITOR AT $0174 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [75010F104CF216F000000000]\nReady.\n> '
0122 | b'*** BREAK INTO MONITOR AT $0174 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [75010F104CF216F000000000]\nReady.\n> '
0123 | b'*** BREAK INTO MONITOR AT $0174 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [75010F104CF216F000000000]\nReady.\n> '
0124 | b'*** BREAK INTO MONITOR AT $0174 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [75010F104CF216F000000000]\nReady.\n> '
0125 | b'*** BREAK INTO MONITOR AT $0174 ***\nR0=$0000 R1=$2000 R2=$009D R3=$F59D\nSP=$FEF8 [75010F104CF216F000000000]\nReady.\n> '
0126 | b'*** BREAK INTO MONITOR AT $0174 ***\nR0=$0000 R1=$2000 R2=$009D R3=$F59D\nSP=$FEF8 [75010F104CF216F000000000]\nReady.\n> '
0127 | b'*** BREAK INTO MONITOR AT $0174 ***\nR0=$0000 R1=$2000 R2=$009D R3=$F59D\nSP=$FEF8 [75010F104CF216F000000000]\nReady.\n> '
0128 | b'*** BREAK INTO MONITOR AT $0174 ***\nR0=$0000 R1=$2000 R2=$009D R3=$F59D\nSP=$FEF8 [75010F104CF216F000000000]\nReady.\n> '
0129 | b'*** BREAK INTO MONITOR AT $0174 ***\nR0=$0000 R1=$00FF R2=$0000 R3=$9C00\nSP=$FEF8 [75010F104CF216F000000000]\nReady.\n> '
012A | b'*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $\x0f\x0f\xa5Ready.\n> '
012B | b'*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $*** BREAK INTO MONITOR AT $\x0f\x0f\xa5Ready.\n> '
